SALE DATE,RECEIPT NO,ORDERTYPE NAME,ITEM NAME,CATEGORY NAME,COST PRICE,SELLING PRICE,ITEM QUANTITY,ITEM AMOUNT,TAX AMOUNT,LOCATION,EXPECTED_REVENUE,REVENUE_LEAKAGE,TOTAL_COST,TRUE_PROFIT,IS_DEFECT,IS_SYSTEM_ERROR,Sigma_Level,Yield,Defect_Count
2019-01-08,BL76,On Shop, Jeans - Zara,Casual Wear,6009,6209,1,6209,0,Bangalore,6209,0,6009,200,False,False,5.219016485455709,1.0,0
2019-01-08,BL76,On Shop, Chain,Accessories,8452,8652,1,8652,0,Chennai,8652,0,8452,200,False,False,5.219016485455709,1.0,0
2019-01-08,BL76,On Shop, Chain,Accessories,14533,14733,1,600,0,Bangalore,14733,14133,14533,200,False,True,5.219016485455709,1.0,1
2019-01-08,BL76,On Shop, Jeans - Zara,Casual Wear,16230,16430,1,900,0,Hyderabad,16430,15530,16230,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, Chain,Accessories,12463,12663,1,12663,0,Bangalore,12663,0,12463,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL94,On Shop, T-shirt,Semi Formal,6872,7072,1,7072,0,Bangalore,7072,0,6872,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL94,On Shop, Jeans - Levis,Casual Wear,17404,17604,3,52812,0,Hyderabad,52812,0,52212,600,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, Jeans - Levis,Casual Wear,9616,9816,1,9816,0,Chennai,9816,0,9616,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, shirt,Formal,10989,11189,1,11189,0,Chennai,11189,0,10989,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, Shirt - Arrow,Formal,14285,14485,1,14485,0,Hyderabad,14485,0,14285,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, Shirt - PE,Semi Formal,1874,2074,1,2074,0,Hyderabad,2074,0,1874,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL77,On Shop, T-shirt,Semi Formal,7197,7397,1,600,0,Hyderabad,7397,6797,7197,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL77,On Shop, T-shirt,Semi Formal,10839,11039,1,11039,0,Chennai,11039,0,10839,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL78,On Shop, Jeans - Denim,Casual Wear,10881,11081,1,900,0,Hyderabad,11081,10181,10881,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL79,On Shop, shirt,Formal,13390,13590,1,850,0,Chennai,13590,12740,13390,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL80,On Shop, Jeans - Zara,Casual Wear,6837,7037,1,900,0,Bangalore,7037,6137,6837,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL80,On Shop, Jeans - Levis,Casual Wear,1984,2184,1,1100,0,Chennai,2184,1084,1984,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL81,On Shop, Jeans - Zara,Casual Wear,1544,1744,1,900,0,Bangalore,1744,844,1544,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL81,On Shop, Jeans - Lega,Casual Wear,9747,9947,1,1000,0,Hyderabad,9947,8947,9747,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL82,On Shop, Jeans - Levis,Casual Wear,8588,8788,1,1100,0,Bangalore,8788,7688,8588,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL83,On Shop, Jeans - Lega,Casual Wear,13801,14001,1,1000,0,Chennai,14001,13001,13801,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL83,On Shop, Jeans - Levis,Casual Wear,12619,12819,1,1100,0,Hyderabad,12819,11719,12619,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL83,On Shop, Jeans - Zara,Casual Wear,11795,11995,1,900,0,Chennai,11995,11095,11795,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL83,On Shop, Jeans - Denim,Casual Wear,10784,10984,1,900,0,Chennai,10984,10084,10784,200,False,True,5.219016485455709,1.0,1
